Data,Vacinados
25/01/2021 12:20,141869
25/01/2021 12:25,142096
25/01/2021 12:35,142441
25/01/2021 12:35,142441
25/01/2021 12:40,142665
25/01/2021 12:40,142665
25/01/2021 12:50,142890
25/01/2021 12:55,143081
25/01/2021 13:05,143481
25/01/2021 13:10,143690
25/01/2021 13:20,143976
25/01/2021 13:20,143976
25/01/2021 13:20,143976
25/01/2021 13:30,144234
25/01/2021 13:35,144311
25/01/2021 13:40,144429
25/01/2021 13:40,144429
25/01/2021 13:50,144527
25/01/2021 13:55,144546
25/01/2021 14:05,144606
25/01/2021 14:05,144606
25/01/2021 14:10,144636
25/01/2021 14:15,144640
25/01/2021 14:25,144801
25/01/2021 14:25,144801
25/01/2021 14:30,144866
25/01/2021 14:35,144904
25/01/2021 14:40,144942
25/01/2021 14:40,144942
25/01/2021 14:50,144988
25/01/2021 14:55,145048
25/01/2021 15:05,145125
25/01/2021 15:05,145125
25/01/2021 15:10,145167
25/01/2021 15:20,145209
25/01/2021 15:20,145209
25/01/2021 15:25,145260
25/01/2021 15:35,145353
25/01/2021 15:35,145353
25/01/2021 15:40,145396
25/01/2021 15:40,145396
25/01/2021 15:50,145449
25/01/2021 15:55,145518
25/01/2021 16:05,145569
25/01/2021 16:05,145569
25/01/2021 16:10,145633
25/01/2021 16:20,145731
25/01/2021 16:20,145731
25/01/2021 16:30,145809
25/01/2021 16:30,145809
